tipo,ubicacion,tamano,rendimiento,fertilizante
Raf,Níjar,7278,2.5770251014689176,NPK
Corazón de buey,Adra,8210,3.3165039748632688,NPK
Cherry,Roquetas de Mar,6871,3.756192537655334,abono líquido
Pera,Almería,1539,2.8862950941471386,abono foliar
Cherry,Almería,9444,3.389476121062291,abono líquido
Cherry,Almería,8196,1.8786330183962536,abono granulado
Kumato,El Ejido,1109,3.2040141252276833,abono foliar
Corazón de buey,Roquetas de Mar,5060,1.5650755039628694,abono granulado
Corazón de buey,El Ejido,5681,3.311385494054082,abono foliar
Cherry,Adra,1883,1.5812330870603404,NPK
Pera,El Ejido,3066,2.9508185461718637,NPK
Cherry,Almería,1484,3.4549285420963485,abono orgánico
Corazón de buey,Roquetas de Mar,8080,1.980846704847012,NPK
Raf,Almería,6614,2.2438091369081574,abono foliar
Raf,El Ejido,3656,1.7725727748691948,abono orgánico
Kumato,Roquetas de Mar,1120,1.5025708945766398,NPK
Kumato,Almería,7748,2.010355418969751,abono foliar
Corazón de buey,Adra,9767,2.881069843935582,NPK
Kumato,El Ejido,6718,2.6027459169408766,abono orgánico
Corazón de buey,Níjar,6882,3.527556841984582,NPK
Corazón de buey,Adra,8596,2.779997486072711,abono granulado
Kumato,Roquetas de Mar,7100,4.744662969696178,abono orgánico
Pera,El Ejido,9411,4.543648293357041,NPK
Cherry,Almería,4012,2.816318504521562,abono granulado
Corazón de buey,Adra,5317,1.7277302839831639,abono foliar
Kumato,Almería,5559,3.885477002292162,abono foliar
Kumato,Roquetas de Mar,8662,1.5231444603655442,abono líquido
Pera,Adra,2646,2.712327268875458,abono líquido
Cherry,Almería,6002,2.0532706036904846,abono orgánico
Raf,El Ejido,5701,3.5560139412956935,abono foliar
Raf,Almería,8271,4.411528090592351,abono orgánico
Raf,Níjar,4644,4.414280300788264,abono orgánico
Pera,Roquetas de Mar,9030,4.407256175037212,abono granulado
Corazón de buey,El Ejido,9517,2.596480382925834,NPK
Corazón de buey,Níjar,1120,3.7626310570518973,abono granulado
Raf,Adra,6073,1.6851136440300079,abono foliar
Cherry,El Ejido,8791,4.0136112393706345,abono orgánico
Pera,Adra,7025,4.0490259621352305,abono líquido
Corazón de buey,Adra,5766,3.021810298466611,NPK
Pera,Níjar,4728,4.235569032720442,abono foliar
Cherry,El Ejido,1129,2.4419400971685157,NPK
Pera,El Ejido,8345,4.347496509558715,NPK
Raf,El Ejido,9741,2.507576825765581,NPK
Kumato,Almería,5210,4.661691346991301,abono orgánico
Corazón de buey,Adra,9870,1.5562030450545161,abono líquido
Pera,Níjar,8937,2.5839523716947874,abono líquido
Cherry,Níjar,8162,3.898484349978673,NPK
Corazón de buey,Almería,4564,2.711455300029486,abono líquido
Kumato,Almería,2202,1.36359434271949,abono foliar
Corazón de buey,El Ejido,8150,1.1147115388804618,abono foliar
Cherry,El Ejido,7760,3.1898429722007813,abono orgánico
Cherry,Adra,1150,1.585355920619786,abono líquido
Pera,Almería,5233,2.6254144272672457,NPK
Kumato,Almería,8754,4.924305075357154,abono foliar
Corazón de buey,El Ejido,8019,4.934515566758188,NPK
Raf,Adra,7106,4.417964353009684,abono foliar
Kumato,Roquetas de Mar,4797,3.763832214388184,abono líquido
Corazón de buey,Almería,1145,1.2403264704328216,abono líquido
Pera,Roquetas de Mar,7924,4.457023379494472,abono granulado
Raf,Almería,5031,3.1216223369494758,NPK
Corazón de buey,Almería,1463,4.261021570429086,abono granulado
Cherry,El Ejido,2441,1.4641136140930597,NPK
Raf,El Ejido,8645,4.601174166495273,abono granulado
Corazón de buey,Almería,6422,3.9189837018743137,NPK
Cherry,Adra,5888,3.799892424396595,abono foliar
Kumato,Níjar,7618,1.5917883610055399,NPK
Raf,Roquetas de Mar,3777,4.42338989192314,NPK
Raf,Almería,8400,4.384163368262998,NPK
Cherry,Almería,7108,2.1197673636430383,abono orgánico
Raf,Adra,4740,1.737834896521004,abono orgánico
Pera,Adra,6363,2.0854561921170824,abono granulado
Raf,Adra,6156,3.317645959796783,NPK
Raf,Adra,1807,2.1753866628023952,abono granulado
Pera,Adra,9433,1.778581150453601,abono líquido
Corazón de buey,Almería,8124,2.5795169707237364,abono orgánico
Cherry,Níjar,3230,2.8960363966105547,abono orgánico
Pera,Roquetas de Mar,1648,1.264552390856399,NPK
Cherry,Roquetas de Mar,4113,2.2713011333499296,NPK
Corazón de buey,Níjar,5894,1.2690855054186891,abono foliar
Cherry,Almería,7799,2.9021489734199095,abono orgánico
Pera,Adra,2125,4.247908148388085,abono líquido
Pera,El Ejido,2161,3.9329314179857953,abono granulado
Kumato,El Ejido,2068,1.8537256131802935,abono granulado
Cherry,Níjar,5517,2.5598961883495353,NPK
Pera,El Ejido,2727,4.966800090945728,NPK
Corazón de buey,Níjar,5695,1.9121977889718198,abono foliar
Cherry,Níjar,2840,2.824105798004598,abono orgánico
Cherry,Almería,6235,4.6228740442194525,abono líquido
Corazón de buey,Almería,5113,2.9517586702389114,NPK
Raf,Almería,4202,1.7140102808747546,abono granulado
Raf,Almería,4895,3.9695124302604126,abono orgánico
Corazón de buey,Adra,4504,3.230449552739508,abono granulado
Pera,Adra,4809,1.6075121965003465,abono granulado
Raf,El Ejido,1014,2.1954912863229348,NPK
Raf,Adra,6835,4.293525429982278,NPK
Kumato,Níjar,5687,4.259505701412259,abono orgánico
Cherry,Níjar,1264,4.7664714757517395,abono líquido
Raf,Almería,3103,1.2230724302912024,abono foliar
Kumato,Roquetas de Mar,6774,3.4754483297036494,abono orgánico
Cherry,Níjar,4686,4.150405879799299,abono líquido
Pera,Níjar,9636,3.5083176739985955,abono granulado
Cherry,Roquetas de Mar,3505,2.535746612471946,abono orgánico
Cherry,Almería,1702,3.44139649187458,abono granulado
Kumato,Roquetas de Mar,8865,4.95812375032407,NPK
Pera,Roquetas de Mar,8668,2.6759856802645996,abono líquido
Corazón de buey,Níjar,7121,1.8913966587880253,abono foliar
Corazón de buey,Níjar,4876,3.649072722645708,NPK
Kumato,El Ejido,7650,3.5695999757091132,abono foliar
Kumato,Roquetas de Mar,2958,3.749263530547125,abono líquido
Cherry,Adra,6953,1.8478821582868354,abono foliar
Raf,El Ejido,2753,2.740958687556647,abono líquido
Raf,Roquetas de Mar,9542,2.85684456719505,NPK
Cherry,Níjar,3881,2.510966214500535,NPK
Kumato,El Ejido,3392,1.9571302818378866,abono granulado
Cherry,Roquetas de Mar,9692,4.633771957823354,NPK
Cherry,El Ejido,4651,2.2463783178674843,abono orgánico
Kumato,Níjar,3043,4.519721788505672,abono granulado
Pera,Níjar,3674,3.3293565562297864,NPK
Cherry,Almería,5053,1.7686541591893086,NPK
Corazón de buey,Almería,2153,1.797948571648874,abono granulado
Raf,Roquetas de Mar,8997,1.6592758887986498,abono orgánico
Raf,Níjar,5895,2.556493022321607,abono foliar
Cherry,Almería,5894,1.6123392183653942,abono orgánico
Pera,El Ejido,5880,3.0654197520886863,abono orgánico
Cherry,Níjar,1571,1.371490243175363,NPK
Cherry,Roquetas de Mar,5473,2.9672958454034766,NPK
Kumato,Adra,5718,1.1882496641181355,abono líquido
Corazón de buey,El Ejido,5068,2.5972904854935446,abono orgánico
Raf,El Ejido,6981,2.103766168085469,abono líquido
Cherry,Almería,8539,3.3493054848643298,abono líquido
Raf,El Ejido,4271,1.0473518336979408,abono granulado
Cherry,Almería,5902,2.3977341354674744,abono líquido
Corazón de buey,Níjar,5066,2.1118009331376735,abono orgánico
Kumato,El Ejido,3713,1.8318850340874882,abono orgánico
Cherry,Roquetas de Mar,7474,1.7287912208261673,NPK
Cherry,Almería,7198,4.855718403891665,abono foliar
Raf,Roquetas de Mar,8408,1.5908350160330755,abono orgánico
Cherry,Adra,8688,3.9421341230094527,abono granulado
Pera,Níjar,2895,1.4667639146353038,NPK
Corazón de buey,Roquetas de Mar,2004,2.893755030007005,abono orgánico
Pera,Adra,1571,2.1963168570096414,abono granulado
Cherry,Adra,8499,1.1161054614028734,abono foliar
Kumato,Almería,7898,3.3341252426495185,abono granulado
Cherry,Níjar,6149,4.127402417508159,abono granulado
Pera,Níjar,4488,4.696466520832823,abono orgánico
Kumato,Adra,5397,4.1919635540775495,abono orgánico
Raf,Níjar,3865,1.220827067790014,abono orgánico
Kumato,Roquetas de Mar,9557,2.1812230309574545,abono granulado
Pera,Níjar,9506,3.111256911388732,abono orgánico
Cherry,El Ejido,6270,1.2164265420154563,NPK
Corazón de buey,Almería,7069,1.8965791920557122,abono foliar
Pera,Níjar,9904,3.37633488368758,abono granulado
Kumato,Adra,8544,3.3455889670504377,abono foliar
Corazón de buey,Adra,3880,3.285770335183178,NPK
Pera,Roquetas de Mar,3647,1.9105686820736745,abono foliar
Raf,El Ejido,2783,4.888056920809591,abono granulado
Pera,Adra,3502,2.864206192589901,NPK
Corazón de buey,Roquetas de Mar,6966,1.8665564263480579,abono líquido
Pera,Adra,9295,1.532486196240186,NPK
Raf,Roquetas de Mar,2208,4.510162140023509,abono orgánico
Cherry,Adra,3616,2.2239501337288803,NPK
Corazón de buey,El Ejido,5099,2.533938715574898,abono orgánico
Pera,El Ejido,3056,4.863361224035161,abono granulado
Kumato,Níjar,7476,2.287348261636481,abono foliar
Pera,Roquetas de Mar,8873,1.6875281520841132,abono foliar
Kumato,Roquetas de Mar,7723,1.2181295484590464,abono foliar
Kumato,Roquetas de Mar,2069,1.9130843915595022,abono foliar
Kumato,Adra,7980,1.183359955690483,abono foliar
Raf,Roquetas de Mar,6871,2.567442466914801,abono foliar
Raf,Níjar,8451,3.8008476999580187,abono líquido
Pera,El Ejido,7730,4.68352228395266,abono granulado
Kumato,Almería,9526,4.403485044311159,abono orgánico
Pera,Níjar,8874,1.533280697542669,abono líquido
Pera,Adra,4023,4.164164319271159,abono granulado
Pera,Almería,9422,3.327860653056369,NPK
Pera,Níjar,8586,2.5222997480146963,abono granulado
Kumato,Níjar,2711,3.0135529476634364,NPK
Cherry,Roquetas de Mar,4163,2.6297336875236805,abono orgánico
Cherry,Níjar,8469,1.108980904985546,abono líquido
Raf,Roquetas de Mar,3945,2.4476977131667383,NPK
Kumato,El Ejido,6960,2.638349256206746,abono granulado
Cherry,Níjar,6346,3.751262171545532,abono orgánico
Cherry,Níjar,4632,3.5725717515555617,abono orgánico
Pera,Níjar,7989,4.207862639216355,abono líquido
Cherry,Roquetas de Mar,3669,4.261606469892701,abono líquido
Cherry,Adra,3015,4.268242477055013,abono foliar
Cherry,El Ejido,7912,2.980478745443855,abono foliar
Kumato,El Ejido,4111,4.703984702498133,abono granulado
Corazón de buey,Almería,5977,1.629843961134147,abono granulado
Corazón de buey,El Ejido,8314,1.8231141445393928,abono líquido
Kumato,Adra,1007,1.22627831832042,abono líquido
Raf,Adra,4539,3.2966191695752047,NPK
Raf,Adra,4200,2.252515247778066,abono foliar
Raf,Adra,3550,3.5177665752326766,NPK
Pera,Adra,5622,4.561672967036357,abono foliar
Pera,El Ejido,1970,3.9106899727338527,abono líquido
Pera,Níjar,7489,1.0562885203597356,NPK
Corazón de buey,Adra,4922,4.666514050748717,abono granulado
Cherry,Roquetas de Mar,5928,1.6878730719764934,abono líquido
Corazón de buey,El Ejido,7734,1.1826175869216975,abono líquido
Pera,El Ejido,8400,3.123633809866265,abono foliar
Pera,El Ejido,9993,3.9544339419466485,abono foliar
Raf,Roquetas de Mar,8653,4.840460004421442,abono granulado
Raf,Almería,5946,4.5236595660135785,abono foliar
Pera,El Ejido,2736,3.068648869115518,abono líquido
Pera,El Ejido,4814,3.4709471559143323,NPK
Cherry,Almería,5436,3.0314254689156255,abono líquido
Cherry,Almería,6662,4.916799983958567,abono granulado
Cherry,Almería,6709,3.086501369923617,NPK
Raf,Roquetas de Mar,9941,2.155276800605665,abono granulado
Corazón de buey,Níjar,7535,1.4174409024341377,abono líquido
Corazón de buey,El Ejido,1968,4.311801772056213,abono orgánico
Cherry,El Ejido,3789,4.5694626596440795,abono orgánico
Cherry,El Ejido,8159,3.2479778045975465,abono granulado
Pera,El Ejido,8027,1.2190211004299711,NPK
Pera,Níjar,7312,1.261501444335229,abono líquido
Kumato,El Ejido,2432,4.23423334866424,abono foliar
Kumato,Níjar,4657,3.440579004624354,abono granulado
Pera,Almería,1803,2.8141056114606293,abono granulado
Pera,Níjar,3422,4.8693737958731536,abono foliar
Cherry,Roquetas de Mar,3853,4.305593526751979,NPK
Corazón de buey,Almería,7929,2.5849820106621646,abono líquido
Raf,Roquetas de Mar,4879,1.5673934161194838,NPK
Pera,Almería,8147,2.140215410406513,abono líquido
Raf,Adra,6797,4.734666030785937,abono líquido
Kumato,Níjar,2796,2.2260784567779712,abono líquido
Cherry,Adra,4884,1.4121812009872774,abono orgánico
Raf,Níjar,1011,2.1732534626727222,abono líquido
Pera,Almería,9651,2.8745760174395842,abono granulado
Cherry,Almería,9262,1.9847973949678415,abono granulado
Corazón de buey,Roquetas de Mar,2917,2.7500883939394996,NPK
Kumato,Almería,6820,3.2866972030471198,NPK
Pera,Roquetas de Mar,7024,4.9494853876072264,abono foliar
Pera,Almería,5152,1.7337763952558967,abono granulado
Cherry,Almería,5990,3.2902019350294784,abono foliar
Raf,Roquetas de Mar,5857,2.142807652503687,abono orgánico
Kumato,Níjar,3142,1.0783457082771446,NPK
Raf,El Ejido,2245,1.5782537202141165,abono foliar
Raf,Adra,6471,4.819406048648798,abono orgánico
Pera,Roquetas de Mar,4703,3.2262657971299844,abono granulado
Cherry,Níjar,5393,1.9769353867154247,abono líquido
Pera,Níjar,8951,3.3760231130845955,abono líquido
Cherry,Roquetas de Mar,5291,2.61090643438545,abono orgánico
Raf,Roquetas de Mar,1094,3.679238019762346,abono orgánico
Cherry,Adra,9035,1.0162459533135486,NPK
Cherry,El Ejido,2302,1.3626171360372394,abono orgánico
Cherry,Adra,6579,4.166774969430174,NPK
Raf,El Ejido,4799,2.64746114821612,abono orgánico
Cherry,Adra,2255,2.3808558510348865,abono foliar
Cherry,Roquetas de Mar,8986,1.3959785857722888,abono foliar
Corazón de buey,El Ejido,6350,4.950918110868194,abono orgánico
Raf,Níjar,8084,4.010045199882542,NPK
Kumato,Adra,7834,3.973630266281795,abono orgánico
Kumato,Almería,3549,2.173776313394233,abono foliar
Kumato,El Ejido,9230,2.4387423745981587,NPK
Kumato,Adra,8119,4.888661423190468,abono foliar
Corazón de buey,Roquetas de Mar,4001,4.485985979866104,NPK
Cherry,Adra,5800,3.5205510787023306,abono foliar
Kumato,Níjar,9077,3.35330822819146,NPK
Raf,Níjar,6501,2.112475445496348,abono granulado
Kumato,Adra,8676,4.55838496347484,NPK
Raf,Adra,3633,1.6068159732325458,abono líquido
Kumato,Níjar,9245,2.8810036407171946,NPK
Raf,Adra,4383,2.885786121004717,NPK
Kumato,Almería,8556,3.857466152841238,abono foliar
Cherry,Roquetas de Mar,5488,2.05621073332045,abono líquido
Pera,Adra,4350,4.629949794572896,abono orgánico
Raf,El Ejido,8252,2.9859324142552963,abono orgánico
Corazón de buey,Adra,8427,2.232134415106318,NPK
Kumato,Adra,7143,2.0523956708475235,abono líquido
Cherry,Adra,5284,2.6914261147637784,abono líquido
Cherry,Adra,3880,2.2851688337307174,NPK
Cherry,Níjar,4608,4.067553020170241,abono líquido
Corazón de buey,Adra,1786,1.579879908831149,abono granulado
Kumato,Roquetas de Mar,4485,2.39817307158036,NPK
Kumato,El Ejido,9689,1.5576002857451567,abono orgánico
Kumato,El Ejido,1289,4.939176220071025,NPK
Cherry,Almería,6496,3.81365415368178,NPK
Raf,El Ejido,5821,3.1734044351190103,NPK
Raf,Almería,7971,3.2939449267691607,NPK
Kumato,Adra,9610,1.5986812428511663,abono foliar
Cherry,Roquetas de Mar,7368,3.7985713776088095,abono granulado
Cherry,Adra,8300,3.3693656785810644,abono líquido
Cherry,Níjar,6376,4.481543539109935,abono orgánico
Kumato,Níjar,5524,3.7171163672395826,abono líquido
Pera,Roquetas de Mar,5332,4.983420932450732,abono orgánico
Raf,Almería,4181,4.156391641229406,abono foliar
Kumato,Níjar,7459,3.679082813323521,abono orgánico
Pera,Adra,9563,1.6352317407111672,abono granulado
Raf,Almería,9637,3.0357442847195615,abono granulado
Kumato,Almería,1460,3.2097839893824784,abono granulado
Kumato,Níjar,2278,4.418467800209496,NPK
Corazón de buey,Níjar,7065,1.2689696546506535,abono granulado
Pera,Almería,1572,4.37733954564726,abono orgánico
Cherry,Roquetas de Mar,1879,3.2040083220987703,abono foliar
Raf,Almería,4314,2.8618580167426004,abono líquido
Corazón de buey,Roquetas de Mar,9709,2.7620078291401047,abono granulado
Pera,Adra,3765,1.831046074391049,abono foliar
Kumato,El Ejido,6174,2.2081586675235707,NPK
Corazón de buey,Níjar,4668,4.700180641353194,NPK
Kumato,Níjar,2802,2.7520266750676567,abono foliar
Cherry,Almería,8690,4.890835035316572,abono granulado
Raf,Adra,5750,1.1523332821584535,abono granulado
Corazón de buey,Almería,2511,1.1211159407278273,abono foliar
Pera,Roquetas de Mar,2741,3.3328442375964302,abono foliar
Pera,El Ejido,8793,1.097100882272093,NPK
Cherry,Níjar,8639,3.257684295290457,NPK
Cherry,Adra,8697,3.793291448425275,abono líquido
Pera,Almería,4575,3.8959753603497136,abono líquido
Corazón de buey,Níjar,7001,4.285656351727209,NPK
Corazón de buey,El Ejido,4573,1.6914175865239387,abono foliar
Cherry,El Ejido,6299,1.3729127910290724,abono foliar
Pera,Níjar,1965,2.110359177089275,abono orgánico
Raf,El Ejido,2575,1.8298006934116708,abono foliar
Cherry,Adra,8999,1.2740814282213657,abono granulado
Pera,Almería,7345,2.873076082176334,NPK
Kumato,Almería,3710,4.230328693932643,abono granulado
Pera,Roquetas de Mar,3548,3.96720342902887,abono foliar
Cherry,El Ejido,3433,2.6615167461139104,abono granulado
Corazón de buey,Níjar,7136,2.965232406969558,NPK
Cherry,Roquetas de Mar,1697,2.638703597157577,abono orgánico
Kumato,Adra,1171,1.2776260157308266,abono líquido
Raf,El Ejido,7210,2.3223818332109447,abono líquido
Corazón de buey,Níjar,3388,1.1830359704560456,abono foliar
Raf,Adra,2138,3.5123938171422893,abono foliar
Kumato,Adra,4451,2.470081766540852,abono foliar
Cherry,Roquetas de Mar,8955,2.0687597163790654,abono orgánico
Raf,Almería,2936,2.4796321800998937,NPK
Corazón de buey,Roquetas de Mar,5067,3.8239649543507563,NPK
Cherry,El Ejido,9436,4.7825577974377165,abono orgánico
Raf,Almería,5982,4.075882703757273,abono granulado
Cherry,Adra,5173,3.157106925213166,NPK
Raf,Níjar,9275,3.2753761236485364,NPK
Raf,Níjar,1706,1.9125330419052924,abono líquido
Cherry,Roquetas de Mar,1526,4.542198658097762,abono granulado
Raf,Roquetas de Mar,2356,2.7571806025134067,abono orgánico
Pera,El Ejido,2286,4.27250345396905,NPK
Raf,Níjar,7944,2.2034203273491317,abono granulado
Pera,Níjar,1693,3.3174369066926546,abono líquido
Cherry,Almería,7083,3.477069779654343,abono granulado
Cherry,Adra,6580,2.3161258521272807,abono líquido
Pera,Adra,9431,2.9926195201739496,NPK
Cherry,Níjar,1043,2.8051900267506724,abono líquido
Kumato,Níjar,5821,1.3551161397656162,abono líquido
Kumato,Almería,9152,1.5390675780949534,abono granulado
Kumato,Roquetas de Mar,4524,1.3693647656296628,abono orgánico
Pera,Adra,3197,2.259756392703034,NPK
Pera,Roquetas de Mar,2523,3.2082127377541636,abono líquido
Corazón de buey,Níjar,8638,3.8213169039153443,abono granulado
Pera,Roquetas de Mar,2101,1.3692183678738283,NPK
Kumato,Roquetas de Mar,7962,4.528948941825306,abono granulado
Corazón de buey,Adra,9357,2.6813855847823898,abono líquido
Pera,El Ejido,6986,1.2390435936799484,NPK
Corazón de buey,Níjar,6204,3.8846082952638725,NPK
Kumato,Níjar,2736,1.5209317656630073,abono foliar
Cherry,Roquetas de Mar,6616,1.0524419790838624,abono foliar
Kumato,Níjar,9877,3.329687505987345,abono granulado
Kumato,Níjar,5390,4.594214190266822,abono líquido
Raf,El Ejido,9793,1.4197141062237444,abono líquido
Corazón de buey,Roquetas de Mar,4724,2.429965569952869,abono foliar
Cherry,Adra,1438,2.5336675647314664,abono granulado
Pera,Adra,6403,4.945513970143665,abono foliar
Corazón de buey,Adra,2310,1.177137956198814,abono granulado
Pera,Almería,6280,3.7211327887109955,abono foliar
Raf,Almería,6917,2.1089462208613714,abono líquido
Cherry,Roquetas de Mar,3161,2.625467365912556,abono orgánico
Raf,Adra,7820,3.0009275254194874,NPK
Corazón de buey,Níjar,4209,4.486547663386732,abono granulado
Corazón de buey,Adra,1932,1.2659727215297654,NPK
Kumato,Adra,8210,1.2931353566842296,abono foliar
Kumato,Almería,2478,4.857482502728146,abono foliar
Kumato,Níjar,8796,4.660075506314303,abono granulado
Pera,Almería,9581,2.1993193497868373,NPK
Cherry,Almería,9592,4.682369408900575,abono granulado
Raf,Níjar,6030,3.6461172805793582,abono líquido
Corazón de buey,Níjar,7677,3.313235859348308,abono granulado
Corazón de buey,El Ejido,8838,2.7296676503019746,abono líquido
Corazón de buey,Adra,1830,1.9539046476259179,abono líquido
Kumato,Roquetas de Mar,4271,3.612068327749388,abono líquido
Raf,Roquetas de Mar,7246,3.5289092722943383,abono foliar
Kumato,El Ejido,7237,2.293080683702128,abono líquido
Kumato,Almería,8809,2.747052835142115,abono orgánico
Cherry,El Ejido,1177,2.584335262335762,abono granulado
Corazón de buey,Níjar,1799,2.8485807564155627,abono líquido
Cherry,Adra,4399,4.832104071070239,NPK
Raf,Adra,3983,4.105236157272074,abono granulado
Pera,Roquetas de Mar,8022,4.552124353507258,abono granulado
Corazón de buey,Almería,5878,4.0976159273263715,abono orgánico
Cherry,Níjar,1962,4.511794897813839,abono líquido
Raf,Níjar,2764,1.386685385446527,abono granulado
Kumato,Adra,8881,3.9578147243569255,abono granulado
Raf,Roquetas de Mar,6102,2.832520038435968,NPK
Cherry,Roquetas de Mar,6932,1.280611714118133,abono foliar
Raf,Almería,8480,4.24491964117848,NPK
Raf,Níjar,1049,1.1865294049970152,abono orgánico
Raf,Almería,4331,4.939026141254296,abono foliar
Cherry,El Ejido,1576,3.978425218980606,abono líquido
Kumato,Adra,3193,1.6473701140114096,abono líquido
Cherry,El Ejido,9307,1.44259603273724,abono líquido
Cherry,Roquetas de Mar,4435,3.416975375649928,abono líquido
Pera,Adra,3202,3.8407633375253445,abono foliar
Raf,Almería,9065,2.9266855217513057,abono foliar
Corazón de buey,Adra,1432,1.9307723979029774,abono orgánico
Raf,Roquetas de Mar,8743,1.5512239928469875,abono foliar
Cherry,Almería,8042,2.9028131069811156,abono orgánico
Cherry,Níjar,6128,4.565763990147241,abono orgánico
Corazón de buey,Almería,9423,2.234316633896456,NPK
Raf,Adra,3108,2.4979473819523554,abono granulado
Cherry,Roquetas de Mar,2543,1.7937773181333942,abono líquido
Corazón de buey,El Ejido,8500,1.937442682754423,abono foliar
Kumato,El Ejido,7247,3.0340182893617853,abono orgánico
Pera,El Ejido,1219,1.7619269977670768,abono foliar
Raf,El Ejido,1929,4.045031668961227,abono líquido
Raf,El Ejido,4170,3.6681858184783835,abono foliar
Pera,Adra,5194,4.687744479520008,abono granulado
Kumato,Almería,4563,4.561581471204608,abono orgánico
Raf,Roquetas de Mar,4574,3.1508639915942265,abono líquido
Cherry,El Ejido,4632,2.0292733480825835,NPK
Corazón de buey,Almería,5090,3.7117469186632213,abono líquido
Raf,El Ejido,4770,2.015516017044726,NPK
Cherry,El Ejido,2839,4.947940333632984,abono orgánico
Pera,Almería,5606,2.6295289114706493,abono foliar
Corazón de buey,Níjar,7056,1.0199262543000591,abono orgánico
Kumato,Roquetas de Mar,8279,3.9599964956126725,abono granulado
Kumato,Almería,6243,3.0448033915950936,abono foliar
Kumato,Almería,7775,1.859265945848152,abono orgánico
Kumato,Almería,3025,4.547370493629488,abono granulado
Corazón de buey,El Ejido,1758,2.5059808365741785,abono líquido
Pera,El Ejido,1234,3.272504661590743,abono foliar
Pera,Adra,4223,3.7632974525127745,abono granulado
Cherry,Níjar,2631,1.439148087646252,abono foliar
Pera,El Ejido,7962,1.272417538024826,abono foliar
Raf,El Ejido,2202,3.9894440633304455,abono granulado
Kumato,Roquetas de Mar,4046,1.2308182459989006,abono foliar
Corazón de buey,Adra,8477,4.991063092387431,abono líquido
Kumato,Almería,3626,1.1888282658174743,NPK
Cherry,Níjar,1932,2.988404344994826,abono granulado
Corazón de buey,Níjar,8220,2.081680913340136,abono líquido
Corazón de buey,El Ejido,3991,2.7129261379692062,abono orgánico
Raf,El Ejido,6442,4.641550427728863,abono granulado
Kumato,Níjar,9301,2.064859999069596,abono foliar
Pera,Adra,4940,4.884020476842911,abono foliar
Kumato,El Ejido,9206,2.5303854233438807,abono foliar
Pera,Roquetas de Mar,8269,1.5731055153666622,abono orgánico
Raf,Adra,3431,4.2659965280457275,abono foliar
Kumato,Roquetas de Mar,1346,2.6503555638440455,abono granulado
Raf,Níjar,7794,4.079905645504718,NPK
Corazón de buey,Adra,2097,1.8660881577686665,abono orgánico
Kumato,Adra,7116,2.9997042288978273,NPK
Cherry,Níjar,8445,3.356923758745711,abono orgánico
Raf,El Ejido,4239,1.2961728010321232,NPK
Raf,Níjar,7015,4.207802948417992,abono orgánico
Cherry,Almería,4989,1.1878693726318938,abono foliar
Raf,Adra,5169,3.499023829405387,abono líquido
