tipo,ubicacion,tamano,rendimiento,fertilizante
Cherry,Nijar,5418,malo,NPK
Raf,Roquetas de Mar,1577,muy bueno,abono organico
Cherry,Nijar,8890,medio,NPK
Raf,Roquetas de Mar,6308,muy bueno,abono granulado
Corazon de buey,Nijar,8364,medio,NPK
Corazon de buey,Adra,1490,malo,NPK
Raf,Nijar,3738,muy bueno,NPK
Corazon de buey,El Ejido,6165,bueno,abono foliar
Pera,Almeria,8002,bueno,NPK
Corazon de buey,Adra,9296,malo,NPK
Kumato,Nijar,8592,malo,abono organico
Raf,Roquetas de Mar,7981,medio,NPK
Pera,Roquetas de Mar,1005,medio,abono organico
Kumato,El Ejido,8192,muy bueno,abono foliar
Kumato,Adra,1274,malo,NPK
Cherry,Almeria,7663,bueno,abono organico
Pera,Roquetas de Mar,5854,muy bueno,abono organico
Corazon de buey,El Ejido,6852,bueno,abono granulado
Cherry,Nijar,9120,muy bueno,abono organico
Corazon de buey,Adra,1140,muy bueno,abono liquido
Kumato,Adra,5308,muy bueno,NPK
Corazon de buey,Adra,5452,bueno,abono organico
Kumato,Nijar,4670,malo,abono organico
Cherry,Roquetas de Mar,2380,malo,abono liquido
Raf,El Ejido,7332,muy bueno,abono organico
Raf,Almeria,4154,muy bueno,NPK
Cherry,Almeria,3836,muy bueno,NPK
Pera,Adra,7934,medio,NPK
Corazon de buey,El Ejido,2340,malo,abono foliar
Corazon de buey,Almeria,9654,bueno,abono foliar
Kumato,El Ejido,2197,bueno,abono liquido
Cherry,Nijar,4613,medio,abono granulado
Pera,Nijar,6299,muy bueno,abono liquido
Kumato,Roquetas de Mar,8804,malo,abono organico
Pera,Nijar,4863,malo,NPK
Corazon de buey,Nijar,9377,muy bueno,abono liquido
Corazon de buey,Nijar,5781,muy bueno,abono liquido
Cherry,Nijar,6904,medio,NPK
Cherry,Nijar,4178,bueno,abono liquido
Corazon de buey,Roquetas de Mar,7828,medio,abono organico
Pera,Almeria,7914,bueno,abono granulado
Cherry,Nijar,7826,malo,NPK
Cherry,Roquetas de Mar,8175,malo,NPK
Corazon de buey,Nijar,6513,malo,abono foliar
Pera,El Ejido,6451,muy bueno,abono liquido
Kumato,Adra,8602,muy bueno,abono organico
Cherry,El Ejido,7383,muy bueno,abono liquido
Cherry,El Ejido,1038,medio,abono liquido
Pera,Adra,4577,bueno,abono granulado
Raf,El Ejido,7438,malo,abono foliar
Pera,Almeria,1639,muy bueno,abono foliar
Kumato,Nijar,9900,medio,abono organico
Raf,Adra,9123,bueno,abono organico
Cherry,Almeria,6830,bueno,abono granulado
Corazon de buey,Almeria,9005,bueno,abono foliar
Corazon de buey,Nijar,1941,muy bueno,abono organico
Kumato,Almeria,6094,medio,abono organico
Pera,Nijar,7964,muy bueno,NPK
Corazon de buey,Roquetas de Mar,5320,medio,abono organico
Raf,Adra,4752,muy bueno,abono granulado
Cherry,Nijar,7042,malo,abono liquido
Pera,Roquetas de Mar,5262,bueno,abono liquido
Corazon de buey,Almeria,8193,bueno,abono granulado
Raf,Almeria,2988,bueno,abono liquido
Cherry,Adra,3709,medio,abono foliar
Cherry,El Ejido,4441,bueno,abono foliar
Cherry,El Ejido,8851,malo,NPK
Kumato,Adra,6778,muy bueno,abono liquido
Corazon de buey,Almeria,3857,bueno,NPK
Kumato,El Ejido,9245,medio,NPK
Kumato,El Ejido,9601,malo,abono foliar
Corazon de buey,El Ejido,1362,malo,NPK
Corazon de buey,Nijar,2392,muy bueno,abono organico
Cherry,Roquetas de Mar,7273,muy bueno,NPK
Kumato,Adra,8790,malo,abono granulado
Kumato,Adra,3844,muy bueno,abono organico
Kumato,Roquetas de Mar,7201,medio,abono granulado
Corazon de buey,Roquetas de Mar,7572,bueno,abono foliar
Pera,Roquetas de Mar,9812,malo,abono liquido
Cherry,Adra,4630,bueno,abono liquido
Pera,Nijar,3444,muy bueno,abono organico
Kumato,Roquetas de Mar,4267,bueno,NPK
Cherry,Nijar,4005,muy bueno,abono organico
Kumato,El Ejido,1477,muy bueno,NPK
Raf,Nijar,3345,muy bueno,NPK
Kumato,El Ejido,8910,malo,abono organico
Cherry,Almeria,4638,medio,NPK
Kumato,El Ejido,6016,bueno,NPK
Kumato,Almeria,5886,malo,abono liquido
Raf,Nijar,4556,medio,abono foliar
Corazon de buey,Almeria,2759,bueno,NPK
Pera,Adra,3254,medio,abono organico
Cherry,Roquetas de Mar,8459,medio,abono organico
Raf,El Ejido,3886,malo,abono foliar
Cherry,El Ejido,7338,bueno,abono granulado
Cherry,Almeria,3317,bueno,NPK
Raf,Almeria,4774,muy bueno,abono foliar
Raf,Almeria,4021,malo,abono foliar
Kumato,El Ejido,1866,malo,abono organico
Pera,El Ejido,2094,medio,abono liquido
Pera,Almeria,3438,medio,abono foliar
Cherry,Roquetas de Mar,9540,bueno,abono liquido
Raf,Roquetas de Mar,8832,medio,abono granulado
Raf,Adra,3659,muy bueno,NPK
Cherry,Adra,8859,bueno,abono granulado
Corazon de buey,Adra,5101,medio,abono organico
Cherry,El Ejido,7271,malo,abono foliar
Cherry,Almeria,7963,malo,abono organico
Raf,Almeria,2590,muy bueno,abono granulado
Raf,Adra,5130,muy bueno,abono liquido
Kumato,Nijar,1769,malo,NPK
Pera,Almeria,3401,medio,abono organico
Corazon de buey,El Ejido,7676,medio,abono organico
Kumato,El Ejido,2375,bueno,abono foliar
Corazon de buey,Nijar,9119,medio,abono foliar
Raf,Nijar,5257,muy bueno,NPK
Corazon de buey,Nijar,7517,muy bueno,abono liquido
Raf,Almeria,1706,bueno,NPK
Raf,Almeria,8643,malo,abono granulado
Cherry,Roquetas de Mar,1171,malo,abono foliar
Corazon de buey,Nijar,5845,medio,abono granulado
Raf,El Ejido,4274,medio,abono granulado
Cherry,El Ejido,8344,medio,abono granulado
Raf,Roquetas de Mar,9987,malo,NPK
Cherry,Adra,3260,bueno,NPK
Raf,Roquetas de Mar,7163,malo,NPK
Corazon de buey,Roquetas de Mar,5245,malo,abono liquido
Kumato,Nijar,6921,bueno,NPK
Corazon de buey,Adra,7945,malo,abono liquido
Kumato,Roquetas de Mar,3465,medio,abono liquido
Corazon de buey,Nijar,7069,bueno,abono foliar
Raf,Roquetas de Mar,4378,bueno,abono foliar
Pera,El Ejido,6761,medio,abono liquido
Raf,El Ejido,8762,medio,abono granulado
Kumato,Almeria,5372,muy bueno,abono liquido
Kumato,Adra,8353,muy bueno,abono granulado
Corazon de buey,Roquetas de Mar,4100,medio,abono granulado
Cherry,Roquetas de Mar,1380,malo,abono foliar
Pera,Roquetas de Mar,8800,muy bueno,abono granulado
Corazon de buey,Almeria,9446,medio,NPK
Cherry,Adra,8360,malo,abono liquido
Kumato,Roquetas de Mar,5644,muy bueno,NPK
Pera,Roquetas de Mar,2083,malo,NPK
Raf,Nijar,8808,bueno,abono foliar
Raf,Adra,3171,muy bueno,abono organico
Pera,Roquetas de Mar,3919,muy bueno,abono granulado
Cherry,Nijar,9596,bueno,abono liquido
Corazon de buey,Roquetas de Mar,3033,bueno,abono organico
Corazon de buey,Adra,9368,muy bueno,abono organico
Raf,Almeria,1127,muy bueno,abono organico
Cherry,Adra,9441,malo,abono organico
Pera,Adra,1814,malo,abono organico
Kumato,Nijar,2246,malo,abono liquido
Pera,Nijar,2990,bueno,abono granulado
Kumato,Adra,7170,muy bueno,abono organico
Cherry,El Ejido,7711,muy bueno,abono foliar
Raf,Nijar,9855,muy bueno,abono liquido
Raf,Adra,9562,bueno,abono foliar
Raf,Almeria,4123,bueno,abono foliar
Kumato,Roquetas de Mar,3697,medio,abono organico
Kumato,El Ejido,8600,medio,abono liquido
Cherry,Roquetas de Mar,1204,bueno,abono liquido
Kumato,Adra,7471,malo,abono liquido
Cherry,Roquetas de Mar,4540,muy bueno,abono foliar
Kumato,Adra,6418,muy bueno,abono granulado
Raf,Almeria,8477,bueno,abono liquido
Kumato,Almeria,9945,bueno,abono foliar
Pera,Nijar,4787,medio,NPK
Raf,Nijar,9348,malo,abono foliar
Cherry,Roquetas de Mar,9473,medio,abono granulado
Kumato,Almeria,3281,medio,NPK
Kumato,Nijar,5628,bueno,abono liquido
Pera,Almeria,2057,bueno,abono liquido
Cherry,Nijar,1786,muy bueno,NPK
Raf,Almeria,8833,malo,NPK
Raf,Adra,7382,bueno,abono granulado
Cherry,Roquetas de Mar,1751,medio,abono liquido
Raf,Adra,8477,malo,abono foliar
Kumato,Roquetas de Mar,2546,medio,abono foliar
Corazon de buey,El Ejido,8407,bueno,abono organico
Corazon de buey,Adra,8736,muy bueno,NPK
Kumato,El Ejido,3971,medio,abono organico
Kumato,Adra,3492,malo,abono organico
Cherry,El Ejido,9979,medio,abono granulado
Corazon de buey,Almeria,4697,bueno,abono liquido
Corazon de buey,Adra,4873,muy bueno,abono liquido
Raf,El Ejido,9458,medio,abono liquido
Cherry,Roquetas de Mar,1588,malo,NPK
Kumato,Nijar,3732,bueno,abono liquido
Cherry,Almeria,5991,muy bueno,abono organico
Corazon de buey,El Ejido,2764,muy bueno,abono liquido
Kumato,Roquetas de Mar,7903,muy bueno,abono granulado
Corazon de buey,El Ejido,3915,muy bueno,abono granulado
Kumato,Adra,1212,muy bueno,abono foliar
Cherry,Almeria,3589,malo,abono granulado
Corazon de buey,Nijar,3196,bueno,abono liquido
Kumato,Almeria,1787,muy bueno,abono organico
Cherry,Roquetas de Mar,7699,muy bueno,abono liquido
Pera,El Ejido,8650,medio,abono organico
Kumato,Nijar,9684,muy bueno,abono foliar
Raf,El Ejido,6711,bueno,NPK
Raf,El Ejido,5139,bueno,abono granulado
Pera,Almeria,4868,muy bueno,abono granulado
Raf,Nijar,2511,bueno,abono foliar
Corazon de buey,Roquetas de Mar,2982,bueno,abono organico
Corazon de buey,Adra,3625,muy bueno,abono liquido
Kumato,Almeria,3695,bueno,abono liquido
Raf,Adra,1053,muy bueno,abono granulado
Corazon de buey,Roquetas de Mar,3903,muy bueno,abono granulado
Cherry,Roquetas de Mar,3111,muy bueno,abono organico
Corazon de buey,El Ejido,5159,malo,abono foliar
Cherry,Adra,1613,medio,abono liquido
Pera,El Ejido,6471,muy bueno,abono foliar
Cherry,Roquetas de Mar,1951,medio,abono foliar
Raf,Roquetas de Mar,6175,bueno,abono granulado
Cherry,Almeria,1435,muy bueno,abono granulado
Kumato,Roquetas de Mar,1212,bueno,abono foliar
Corazon de buey,Almeria,6999,muy bueno,abono organico
Cherry,Almeria,4210,muy bueno,abono organico
Raf,Roquetas de Mar,4429,muy bueno,abono granulado
Cherry,Roquetas de Mar,2460,muy bueno,abono liquido
Raf,Roquetas de Mar,6735,muy bueno,abono granulado
Corazon de buey,El Ejido,1108,muy bueno,abono organico
Cherry,Almeria,3887,bueno,abono organico
Corazon de buey,Nijar,5162,malo,abono foliar
Cherry,El Ejido,6048,bueno,abono organico
Pera,Roquetas de Mar,7695,bueno,abono liquido
Corazon de buey,Nijar,6333,muy bueno,abono foliar
Kumato,Roquetas de Mar,2654,muy bueno,abono liquido
Corazon de buey,Adra,5640,bueno,abono organico
Cherry,Nijar,1554,bueno,NPK
Kumato,Almeria,3906,muy bueno,abono liquido
Raf,Almeria,6127,malo,abono granulado
Pera,Roquetas de Mar,1644,bueno,NPK
Kumato,Nijar,6460,bueno,abono organico
Kumato,Nijar,1923,muy bueno,abono liquido
Cherry,Roquetas de Mar,1747,bueno,abono liquido
Pera,El Ejido,1926,medio,abono granulado
Raf,Almeria,4069,muy bueno,abono granulado
Pera,Almeria,8007,medio,NPK
Raf,El Ejido,5673,malo,abono organico
Pera,Roquetas de Mar,8121,muy bueno,NPK
Pera,Roquetas de Mar,5848,muy bueno,abono organico
Corazon de buey,Nijar,8299,medio,abono organico
Kumato,El Ejido,8559,bueno,abono granulado
Pera,Nijar,3818,medio,abono granulado
Raf,Adra,2327,medio,NPK
Corazon de buey,Almeria,8686,malo,NPK
Kumato,Nijar,2397,medio,abono granulado
Pera,Roquetas de Mar,4486,medio,abono organico
Cherry,Almeria,8035,medio,abono granulado
Kumato,El Ejido,8899,bueno,abono organico
Raf,Nijar,6390,bueno,abono organico
Cherry,Almeria,4550,muy bueno,abono foliar
Kumato,Almeria,8387,bueno,NPK
Corazon de buey,Almeria,4014,malo,abono foliar
Kumato,El Ejido,6777,bueno,abono foliar
Kumato,El Ejido,2961,medio,abono organico
Kumato,Nijar,8263,bueno,abono liquido
Kumato,Almeria,6729,bueno,abono foliar
Cherry,Adra,2581,medio,NPK
Corazon de buey,Almeria,2869,medio,abono granulado
Cherry,Almeria,3133,malo,NPK
Cherry,Almeria,1923,medio,abono granulado
Kumato,Nijar,3999,muy bueno,abono organico
Corazon de buey,El Ejido,5051,muy bueno,abono liquido
Kumato,Nijar,3975,medio,abono granulado
Cherry,Roquetas de Mar,6032,medio,abono granulado
Corazon de buey,Nijar,5850,muy bueno,NPK
Corazon de buey,Roquetas de Mar,2360,bueno,abono foliar
Cherry,El Ejido,2297,malo,abono foliar
Corazon de buey,Almeria,6530,muy bueno,abono liquido
Kumato,Adra,1467,bueno,abono granulado
Kumato,El Ejido,8796,malo,abono organico
Cherry,Adra,5101,medio,abono organico
Raf,El Ejido,8390,malo,abono liquido
Kumato,Adra,8412,muy bueno,abono foliar
Kumato,Adra,8141,malo,abono granulado
Kumato,Almeria,6427,malo,abono granulado
Kumato,Almeria,5600,malo,NPK
Cherry,Adra,2283,medio,abono foliar
Pera,Adra,9568,medio,abono organico
Raf,Adra,9386,medio,abono granulado
Cherry,Roquetas de Mar,2512,muy bueno,abono liquido
Cherry,Roquetas de Mar,2726,muy bueno,abono organico
Kumato,Nijar,1263,medio,abono liquido
Corazon de buey,Adra,8871,bueno,NPK
Raf,Roquetas de Mar,8264,bueno,abono foliar
Corazon de buey,Nijar,6630,muy bueno,abono granulado
Cherry,Nijar,9888,muy bueno,abono liquido
Kumato,Almeria,8834,malo,abono foliar
Raf,El Ejido,2163,malo,abono granulado
Pera,Nijar,3746,muy bueno,abono granulado
Cherry,Nijar,1431,muy bueno,abono granulado
Raf,Almeria,1301,muy bueno,abono granulado
Kumato,Adra,7214,malo,abono organico
Kumato,Almeria,9453,medio,abono foliar
Raf,Adra,3347,muy bueno,NPK
Kumato,Adra,1181,muy bueno,abono foliar
Kumato,Adra,2173,malo,NPK
Cherry,Roquetas de Mar,6154,medio,NPK
Kumato,Roquetas de Mar,8981,medio,abono organico
Corazon de buey,El Ejido,9829,malo,NPK
Kumato,Roquetas de Mar,4391,muy bueno,abono liquido
Raf,Almeria,6758,muy bueno,abono foliar
Raf,El Ejido,3364,medio,NPK
Corazon de buey,El Ejido,1848,malo,abono liquido
Cherry,Almeria,1801,muy bueno,abono organico
Cherry,Roquetas de Mar,4976,malo,abono granulado
Corazon de buey,Almeria,9976,muy bueno,abono granulado
Pera,Nijar,5070,medio,abono organico
Corazon de buey,El Ejido,3672,bueno,NPK
Raf,Adra,7503,medio,abono granulado
Kumato,Almeria,6893,medio,abono organico
Corazon de buey,El Ejido,8971,malo,abono organico
Corazon de buey,El Ejido,9627,medio,abono granulado
Corazon de buey,El Ejido,4018,malo,abono liquido
Pera,Roquetas de Mar,6547,medio,abono foliar
Corazon de buey,Almeria,4053,medio,NPK
Pera,Roquetas de Mar,5725,medio,abono foliar
Corazon de buey,Nijar,9526,bueno,NPK
Pera,Roquetas de Mar,5747,muy bueno,abono foliar
Cherry,El Ejido,5141,malo,abono liquido
Kumato,Roquetas de Mar,6662,muy bueno,abono foliar
Pera,Roquetas de Mar,2044,muy bueno,abono granulado
Cherry,Adra,9766,bueno,NPK
Kumato,Nijar,6132,bueno,abono foliar
Kumato,Almeria,1540,malo,NPK
Raf,El Ejido,7724,muy bueno,abono granulado
Cherry,El Ejido,3430,bueno,NPK
Cherry,Adra,8922,medio,NPK
Corazon de buey,Roquetas de Mar,9259,muy bueno,abono liquido
Pera,El Ejido,9908,malo,abono organico
Kumato,El Ejido,9465,malo,abono liquido
Kumato,Roquetas de Mar,5327,malo,abono foliar
Cherry,Almeria,9934,malo,NPK
Pera,Nijar,9961,bueno,abono liquido
Kumato,Almeria,1606,bueno,abono granulado
Kumato,Almeria,6434,muy bueno,abono granulado
Pera,Adra,1335,bueno,NPK
Pera,Roquetas de Mar,3958,bueno,abono liquido
Kumato,Almeria,8530,medio,abono foliar
Pera,Almeria,1125,muy bueno,NPK
Corazon de buey,Adra,1944,malo,abono granulado
Raf,Adra,3566,malo,NPK
Corazon de buey,Roquetas de Mar,6806,muy bueno,abono granulado
Raf,Nijar,4319,bueno,abono organico
Cherry,El Ejido,4395,bueno,abono liquido
Cherry,Roquetas de Mar,7035,malo,abono liquido
Cherry,Almeria,6785,muy bueno,abono foliar
Cherry,Adra,2807,bueno,abono granulado
Kumato,Almeria,3983,bueno,abono organico
Cherry,Roquetas de Mar,8661,malo,abono granulado
Raf,Roquetas de Mar,4346,bueno,abono foliar
Pera,Nijar,3018,malo,NPK
Corazon de buey,Nijar,6738,muy bueno,abono liquido
Pera,Almeria,2935,muy bueno,abono liquido
Raf,Adra,2607,bueno,abono foliar
Corazon de buey,Almeria,3786,muy bueno,abono organico
Kumato,El Ejido,6071,bueno,abono liquido
Raf,Roquetas de Mar,8995,malo,abono organico
Corazon de buey,Nijar,5787,bueno,abono organico
Kumato,El Ejido,9604,muy bueno,abono organico
Raf,Nijar,9293,medio,abono liquido
Raf,Adra,8449,muy bueno,abono foliar
Pera,Nijar,9721,bueno,NPK
Kumato,Roquetas de Mar,4232,muy bueno,abono organico
Kumato,El Ejido,6407,medio,abono organico
Cherry,Adra,2438,malo,abono foliar
Kumato,Roquetas de Mar,7666,muy bueno,abono foliar
Pera,El Ejido,4083,muy bueno,abono foliar
Corazon de buey,Nijar,2322,malo,abono granulado
Pera,Adra,9325,medio,abono organico
Pera,Almeria,1613,malo,abono liquido
Cherry,Adra,5418,malo,abono organico
Kumato,Nijar,2304,muy bueno,abono liquido
Kumato,Roquetas de Mar,6572,bueno,abono liquido
Corazon de buey,Almeria,7578,bueno,NPK
Pera,Almeria,8587,medio,NPK
Cherry,Almeria,8338,muy bueno,abono granulado
Cherry,Adra,6221,muy bueno,abono granulado
Pera,Roquetas de Mar,1357,bueno,abono granulado
Kumato,Roquetas de Mar,7437,medio,NPK
Raf,El Ejido,7281,muy bueno,NPK
Raf,Nijar,6993,medio,abono liquido
Corazon de buey,El Ejido,2121,medio,abono organico
Cherry,Nijar,1423,muy bueno,abono liquido
Raf,Nijar,1032,muy bueno,abono granulado
Pera,Almeria,5711,muy bueno,abono organico
Corazon de buey,El Ejido,9114,bueno,abono organico
Pera,Nijar,7848,muy bueno,abono foliar
Pera,Roquetas de Mar,1557,medio,abono foliar
Raf,Almeria,3838,bueno,abono organico
Cherry,El Ejido,5414,bueno,abono foliar
Kumato,Nijar,2131,malo,NPK
Kumato,Adra,5646,medio,abono organico
Pera,Nijar,4055,malo,NPK
Corazon de buey,Almeria,8026,malo,abono granulado
Corazon de buey,Almeria,1868,medio,NPK
Pera,Roquetas de Mar,9626,bueno,abono liquido
Pera,Roquetas de Mar,4206,malo,abono liquido
Corazon de buey,Roquetas de Mar,9198,medio,NPK
Kumato,Adra,9630,muy bueno,abono liquido
Kumato,El Ejido,2134,bueno,abono liquido
Pera,Roquetas de Mar,9420,malo,NPK
Corazon de buey,Almeria,6647,muy bueno,abono liquido
Kumato,El Ejido,8753,malo,abono liquido
Raf,Almeria,2214,medio,abono foliar
Corazon de buey,El Ejido,5880,muy bueno,abono liquido
Corazon de buey,Roquetas de Mar,3786,malo,NPK
Pera,Almeria,9465,medio,abono organico
Raf,Roquetas de Mar,6139,malo,abono foliar
Corazon de buey,Roquetas de Mar,1909,malo,abono granulado
Kumato,Almeria,1351,bueno,abono organico
Raf,Almeria,1424,bueno,abono foliar
Corazon de buey,Almeria,1840,bueno,NPK
Cherry,El Ejido,2661,muy bueno,abono organico
Kumato,Roquetas de Mar,3827,medio,abono organico
Corazon de buey,Almeria,4056,bueno,abono foliar
Corazon de buey,Almeria,1620,bueno,abono liquido
Raf,Nijar,2739,medio,abono liquido
Raf,Almeria,2274,malo,abono granulado
Cherry,Roquetas de Mar,1252,muy bueno,abono foliar
Raf,Roquetas de Mar,2248,bueno,abono liquido
Corazon de buey,El Ejido,3264,bueno,abono liquido
Kumato,Roquetas de Mar,8982,bueno,abono organico
Kumato,Roquetas de Mar,1343,malo,NPK
Corazon de buey,Almeria,2521,malo,abono granulado
Cherry,Roquetas de Mar,8605,bueno,abono foliar
Pera,Almeria,4809,medio,NPK
Raf,Adra,4326,muy bueno,abono granulado
Kumato,El Ejido,5824,malo,abono granulado
Raf,Adra,9091,muy bueno,abono foliar
Cherry,Nijar,4536,malo,abono granulado
Cherry,Roquetas de Mar,3157,muy bueno,abono organico
Cherry,Almeria,6411,medio,abono granulado
Kumato,El Ejido,2464,bueno,abono granulado
Kumato,Almeria,1633,muy bueno,abono liquido
Raf,El Ejido,6543,bueno,abono foliar
Corazon de buey,Almeria,6113,medio,abono liquido
Kumato,Nijar,4251,muy bueno,abono liquido
Kumato,Roquetas de Mar,2189,muy bueno,abono organico
Corazon de buey,Adra,1725,medio,abono granulado
Pera,Adra,7698,medio,abono granulado
Raf,Adra,9099,bueno,abono organico
Kumato,Adra,8933,muy bueno,NPK
Raf,Nijar,4343,malo,abono granulado
Kumato,Nijar,4840,muy bueno,abono granulado
Cherry,Almeria,8059,muy bueno,abono organico
Raf,Adra,7318,medio,NPK
Cherry,El Ejido,4691,medio,abono granulado
Pera,El Ejido,6431,malo,abono foliar
Raf,Almeria,1399,bueno,abono organico
Cherry,Nijar,3428,bueno,abono liquido
Kumato,Almeria,6278,muy bueno,NPK
Pera,Nijar,2751,medio,abono liquido
Kumato,Almeria,6633,muy bueno,abono granulado
Kumato,Adra,1873,muy bueno,abono liquido
Pera,Adra,9522,bueno,NPK
Kumato,Roquetas de Mar,5025,bueno,abono liquido
Cherry,Adra,9019,muy bueno,abono granulado
Corazon de buey,Nijar,9633,muy bueno,abono liquido
Raf,Adra,5990,bueno,NPK
Pera,Adra,7586,muy bueno,abono foliar
Raf,Adra,9248,malo,abono foliar
Cherry,Adra,5182,bueno,NPK
Corazon de buey,Nijar,5528,muy bueno,NPK
Corazon de buey,Roquetas de Mar,2387,malo,abono granulado
Raf,Adra,5563,medio,abono granulado
Pera,Almeria,8414,muy bueno,abono foliar
Pera,Almeria,2106,bueno,abono organico
Corazon de buey,Adra,4186,bueno,abono foliar
Raf,Almeria,9948,malo,abono organico
Raf,Roquetas de Mar,5146,muy bueno,abono foliar
Kumato,Adra,3458,muy bueno,abono foliar
Corazon de buey,Almeria,2441,bueno,abono organico
Raf,Adra,3582,medio,abono organico
Cherry,Almeria,2743,bueno,abono granulado
Cherry,Adra,2970,muy bueno,abono granulado
Cherry,El Ejido,4105,muy bueno,abono organico
Pera,El Ejido,4911,bueno,abono granulado
Kumato,El Ejido,8373,bueno,abono organico
Corazon de buey,Adra,3395,malo,abono foliar
Raf,Nijar,2975,bueno,abono organico
Cherry,Almeria,6548,medio,abono granulado
Corazon de buey,Adra,6266,malo,abono granulado
